id	effectiveTime	active	moduleId	refSetId	referencedComponentId	mapGroup	mapPriority	mapRule	mapAdvice	mapTarget	correlationId	mapCategoryId
5b2d4e7e-6f2a-5193-896f-571abdd6defe	20130731	1	449080006	447562003	103011009	1	1	TRUE	ALWAYS G44.8	G44.8	447561005	447637006
6b831f2e-5a06-5300-b41e-c59c6148373f	20130731	0	449080006	447562003	105480006	1	1	TRUE	ALWAYS Z53.2	Z53.2	447561005	447637006
dba01e8d-df9f-5cc5-976e-3e77c4e36e55	20130731	1	449080006	447562003	105480006	1	2	OTHERWISE TRUE	ALWAYS Z53.2	Z53.2	447561005	447637006
edf135a5-d4fb-551f-9013-b01e03da6cce	20130731	1	449080006	447562003	105480006	1	1	IFA 591000119102 | Vaccine refused by patient (situation) |	MAP SOURCE CONCEPT CANNOT BE CLASSIFIED WITH AVAILABLE DATA		447561005	447638001
3c2a8079-0587-5391-9881-173068b96a96	20130201	1	449080006	447562003	1055001	1	2	IFA 90520006 | Vertebral artery stenosis (disorder) |	IF VERTEBRAL ARTERY STENOSIS CHOOSE I65.0 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT	I65.0	447561005	447639009
7d4eaa19-fde7-5eff-b76a-9dc0ef3d0dbb	20130201	1	449080006	447562003	1055001	1	3	OTHERWISE TRUE	ALWAYS I65.9	I65.9	447561005	447637006
ad3049d6-e6a4-500c-9836-7ef5b5d95918	20130201	1	449080006	447562003	1055001	1	1	IFA 73192008 | Multiple AND bilateral precerebral artery stenosis (disorder) |	IF MULTIPLE AND BILATERAL PRECEREBRAL ARTERY STENOSIS CHOOSE I65.3 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT	I65.3	447561005	447639009
a1933d8c-4327-54b6-90d4-3224ab0ef36d	20130731	1	449080006	447562003	105606008	1	1	TRUE	DESCENDANTS NOT EXHAUSTIVELY MAPPED | MAP SOURCE CONCEPT CANNOT BE CLASSIFIED WITH AVAILABLE DATA		447561005	447638001
546ba846-3fce-5de3-ab5f-c9f7421748cf	20130201	1	449080006	447562003	105649009	1	1	TRUE	DESCENDANTS NOT EXHAUSTIVELY MAPPED | MAP SOURCE CONCEPT CANNOT BE CLASSIFIED WITH AVAILABLE DATA		447561005	447638001
94dec6bd-97d4-54eb-9e2f-5b4d301c9618	20130201	1	449080006	447562003	105969002	1	1	TRUE	ALWAYS M35.9 | DESCENDANTS NOT EXHAUSTIVELY MAPPED	M35.9	447561005	447637006
5433e75f-43fe-5b9f-9fa6-86e23e30ff61	20130201	1	449080006	447562003	105995000	1	1	TRUE	ALWAYS K08.9 | DESCENDANTS NOT EXHAUSTIVELY MAPPED	K08.9	447561005	447637006
9cadc06c-2b61-56b3-b90d-484f87b5c527	20130201	1	449080006	447562003	105997008	1	1	TRUE	ALWAYS K83.9 | DESCENDANTS NOT EXHAUSTIVELY MAPPED	K83.9	447561005	447637006
122bc7e3-ccfe-5ee8-bbe0-c8dfa4b22bdd	20130201	1	449080006	447562003	106002000	1	1	TRUE	DESCENDANTS NOT EXHAUSTIVELY MAPPED | MAP SOURCE CONCEPT CANNOT BE CLASSIFIED WITH AVAILABLE DATA		447561005	447638001
4e2fb886-2e56-569a-8c4f-290476373b9b	20130731	0	449080006	447562003	106190000	1	1	TRUE	ALWAYS T78.4 | DESCENDANTS NOT EXHAUSTIVELY MAPPED | POSSIBLE REQUIREMENT FOR AN EXTERNAL CAUSE CODE	T78.4	447561005	447637006
abf496fe-cd67-5d00-8e3f-2fae583c44c2	20130201	1	449080006	447562003	108365000	1	1	TRUE	ALWAYS L08.9 | DESCENDANTS NOT EXHAUSTIVELY MAPPED	L08.9	447561005	447637006
8f1948e8-afe9-5476-a4e2-cd822c6a62e8	20130201	1	449080006	447562003	10890000	1	1	TRUE	ALWAYS K11.9 | DESCENDANTS NOT EXHAUSTIVELY MAPPED	K11.9	447561005	447637006
f907a5bb-9754-581e-8a31-bc925532391f	20130201	1	449080006	447562003	109266006	1	1	TRUE	ALWAYS D03.9 | DESCENDANTS NOT EXHAUSTIVELY MAPPED | POSSIBLE REQUIREMENT FOR MORPHOLOGY CODE	D03.9	447561005	447637006
19225839-49af-5dd9-8fa6-ff611a3fbf2d	20130201	1	449080006	447562003	109269004	1	1	IFA 109273001 | Melanocytic nevus of eyelid, including canthus (disorder) |	IF MELANOCYTIC NEVUS OF EYELID, INCLUDING CANTHUS CHOOSE D22.1 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT | POSSIBLE REQUIREMENT FOR MORPHOLOGY CODE	D22.1	447561005	447639009
66751140-593b-5b6a-abec-5d114f1b2e66	20130201	1	449080006	447562003	109269004	1	2	IFA 109277000 | Melanocytic nevus of ear (disorder) |	IF MELANOCYTIC NEVUS OF EAR CHOOSE D22.2 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT | POSSIBLE REQUIREMENT FOR MORPHOLOGY CODE	D22.2	447561005	447639009
e1a83809-dd3d-5c80-a5fb-ecca0e9d9540	20130201	1	449080006	447562003	109269004	1	4	OTHERWISE TRUE	ALWAYS D22.3 | POSSIBLE REQUIREMENT FOR MORPHOLOGY CODE	D22.3	447561005	447637006
fcbfa72d-963b-5a9d-9eb4-4aba3c6cff0d	20130201	1	449080006	447562003	109269004	1	3	IFA 254817005 | Oculocutaneous melanocytic nevus (disorder) |	SOURCE SNOMED CONCEPT IS AMBIGUOUS		447561005	447640006
c6c72bec-be3d-5a6d-aaa6-0e698eda3df0	20130201	1	449080006	447562003	109787002	1	1	TRUE	ALWAYS K13.6	K13.6	447561005	447637006
d12d41d0-55ca-506c-b1f2-d29a25f51675	20130731	1	449080006	447562003	110151001	1	1	TRUE	ALWAYS S00.5 | DESCENDANTS NOT EXHAUSTIVELY MAPPED | POSSIBLE REQUIREMENT FOR AN EXTERNAL CAUSE CODE	S00.5	447561005	447637006
ccc9bf7f-acf1-5f10-8419-8f2e4bb9bcc8	20130731	1	449080006	447562003	110172003	1	1	TRUE	ALWAYS T26.0 | POSSIBLE REQUIREMENT FOR AN EXTERNAL CAUSE CODE	T26.0	447561005	447637006
c0ffdc50-2fb5-53d5-8a4d-4dfec24c7135	20130731	1	449080006	447562003	110173008	1	1	TRUE	ALWAYS T26.0 | POSSIBLE REQUIREMENT FOR AN EXTERNAL CAUSE CODE	T26.0	447561005	447637006
4adb7329-7b0a-5923-bae7-3ffe0851c77e	20130731	1	449080006	447562003	110180005	1	1	TRUE	ALWAYS T20.2 | POSSIBLE REQUIREMENT FOR AN EXTERNAL CAUSE CODE	T20.2	447561005	447637006
52c2648e-8926-587d-8e6a-d564f04ed0e7	20130731	1	449080006	447562003	110184001	1	1	TRUE	ALWAYS T20.2 | POSSIBLE REQUIREMENT FOR AN EXTERNAL CAUSE CODE	T20.2	447561005	447637006
a30a1e33-b174-5d45-b01e-bb9328a1030e	20130731	1	449080006	447562003	110188003	1	1	TRUE	ALWAYS T20.2 | POSSIBLE REQUIREMENT FOR AN EXTERNAL CAUSE CODE	T20.2	447561005	447637006
b99e277c-ff33-5922-8db6-bdbd04df5248	20130201	1	449080006	447562003	110483000	1	1	TRUE	ALWAYS Z72.0 | DESCENDANTS NOT EXHAUSTIVELY MAPPED	Z72.0	447561005	447637006
2fc9ef87-39dd-581c-b049-27e838fcc9b3	20130201	1	449080006	447562003	111181004	1	1	TRUE	ALWAYS L02.9 | DESCENDANTS NOT EXHAUSTIVELY MAPPED	L02.9	447561005	447637006
